City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,glace bay,46.1969,-59.957,271.51,66,75,11.83,CA,1704820665
1,xifeng,42.7372,124.7222,255.46,98,15,1.76,CN,1704820667
2,bomdila,27.25,92.4,277.88,83,98,0.55,IN,1704820668
3,longyearbyen,78.2186,15.6401,259.06,72,95,9.26,SJ,1704820669
4,taoudenni,22.6783,-3.9836,300.19,15,98,2.64,ML,1704820671
5,rawson,-43.3002,-65.1023,293.58,31,4,8.26,AR,1704820546
6,uturoa,-16.7333,-151.4333,300.39,79,61,5.26,PF,1704820673
7,vorgashor,67.5833,63.95,247.79,99,100,2.07,RU,1704820674
8,olinda,-8.0089,-34.8553,304.0,66,40,5.66,BR,1704820676
9,grytviken,-54.2811,-36.5092,279.78,88,97,2.79,GS,1704820677
10,loa janan,-0.583,117.095,297.87,91,98,0.51,ID,1704820679
11,wailua homesteads,22.0669,-159.378,294.59,73,40,3.6,US,1704820680
12,monte azul,-15.155,-42.8747,303.78,55,76,1.46,BR,1704820682
13,port-aux-francais,-49.35,70.2167,277.07,73,50,8.1,TF,1704820683
14,adamstown,-25.066,-130.1015,296.93,90,96,3.74,PN,1704820685
15,ust-nera,64.5667,143.2,228.63,99,95,1.59,RU,1704820686
16,waitangi,-43.9535,-176.5597,285.27,82,100,1.79,NZ,1704820688
17,lesnoy,57.6198,63.0784,251.19,97,100,2.92,RU,1704820689
18,enewetak,11.3474,162.3373,300.47,80,74,9.99,MH,1704820691
19,albany,42.6001,-73.9662,275.19,88,100,0.45,US,1704820405
20,olonkinbyen,70.9221,-8.7187,275.17,86,40,9.7,SJ,1704820694
21,papatowai,-46.5619,169.4708,285.45,95,100,6.24,NZ,1704820695
22,edinburgh of the seven seas,-37.0676,-12.3116,291.52,97,97,8.3,SH,1704820697
23,namibe,-15.1961,12.1522,297.08,79,89,3.88,AO,1704820698
24,fale old settlement,-9.3852,-171.2468,302.54,72,39,4.77,TK,1704820700
25,turpan,42.9333,89.1667,270.2,63,7,0.58,CN,1704820701
26,shimoda,34.6667,138.95,280.43,59,0,9.93,JP,1704820703
27,touros,-5.1989,-35.4608,304.08,58,34,6.01,BR,1704820704
28,kletnya,53.3897,33.2171,264.55,94,83,5.2,RU,1704820706
29,castelo do piaui,-5.3222,-41.5525,310.45,26,27,2.46,BR,1704820707
30,zarghun shahr,32.8473,68.4457,274.24,38,58,0.44,AF,1704820682
31,whitehorse,60.7161,-135.0538,259.58,83,100,4.12,CA,1704820678
32,constantia,44.1833,28.65,267.53,80,100,10.6,RO,1704820711
33,nemuro,43.3236,145.575,271.7,76,46,4.45,JP,1704820713
34,invercargill,-46.4,168.35,285.38,93,100,0.45,NZ,1704820714
35,kodiak,57.79,-152.4072,273.88,69,0,3.09,US,1704820716
36,mahdia,35.5047,11.0622,287.12,62,46,4.34,TN,1704820717
37,bouar,5.934,15.596,299.54,15,63,1.87,CF,1704820718
38,blackmans bay,-43.0167,147.3167,286.77,90,100,0.45,AU,1704820720
39,codrington,-38.2667,141.9667,288.25,96,27,2.12,AU,1704820721
40,broome,42.2506,-75.833,275.31,94,100,10.29,US,1704820724
41,tughyl,47.7252,84.2063,270.59,97,100,3.12,KZ,1704820726
42,kourou,5.1552,-52.6478,303.18,78,90,3.79,GF,1704820727
43,new norfolk,-42.7826,147.0587,287.43,87,100,1.18,AU,1704820729
44,atafu village,-8.5421,-172.5159,301.97,74,67,4.07,TK,1704820731
45,nuku'alofa,-21.1333,-175.2,299.13,86,100,4.81,TO,1704820563
46,hermanus,-34.4187,19.2345,293.32,78,100,7.84,ZA,1704820733
47,east london,-33.0153,27.9116,295.67,88,100,4.12,ZA,1704820712
48,praia da vitoria,38.7333,-27.0667,291.35,77,40,13.4,PT,1704820737
49,college,64.8569,-147.8028,260.33,78,100,0.0,US,1704820738
50,margaret river,-33.95,115.0667,286.75,82,0,5.11,AU,1704820740
51,qaqortoq,60.7167,-46.0333,275.77,78,87,2.54,GL,1704820741
52,gondar,12.6,37.4667,289.83,37,6,2.22,ET,1704820742
53,san pedro del parana,-26.8333,-56.2,310.14,42,27,2.17,PY,1704820743
54,avarua,-21.2078,-159.775,298.18,83,40,3.09,CK,1704820449
55,dudinka,69.4058,86.1778,255.16,80,100,3.58,RU,1704820746
56,vilyuchinsk,52.9306,158.4028,256.44,73,96,3.85,RU,1704820748
57,immenhausen,51.4276,9.4802,269.62,58,0,1.03,DE,1704820749
58,uvinza,-5.1036,30.3911,293.62,92,67,0.38,TZ,1704820750
59,prince rupert,54.3161,-130.3201,276.98,86,0,10.29,CA,1704820752
60,aswan,24.0934,32.907,298.36,33,100,2.83,EG,1704820753
61,inverloch,-38.6333,145.7167,288.34,92,62,2.25,AU,1704820754
62,kingston,17.997,-76.7936,303.68,66,20,11.83,JM,1704820607
63,jamestown,42.097,-79.2353,278.92,96,100,8.75,US,1704820505
64,choibalsan,48.0667,114.5,263.9,70,70,9.96,MN,1704820759
65,claveria,18.6074,121.0832,297.22,90,66,2.89,PH,1704820760
66,lebu,-37.6167,-73.65,289.63,63,0,9.33,CL,1704820761
67,rio grande,-32.035,-52.0986,302.21,59,10,4.23,BR,1704820763
68,kabare,-2.4683,28.8242,290.3,93,86,0.98,CD,1704820764
69,sokoni,-6.4333,39.55,301.08,79,26,5.79,TZ,1704820765
70,andergrove,-21.0833,149.1833,297.95,86,100,1.78,AU,1704820767
71,veinticinco de mayo,-35.4323,-60.1727,305.36,46,17,2.24,AR,1704820768
72,weno,7.4515,151.8468,301.29,70,88,11.42,FM,1704820769
73,magistral'nyy,56.1725,107.4458,261.13,91,100,1.68,RU,1704820770
74,merizo village,13.2658,144.6691,300.46,92,41,9.7,GU,1704820772
75,yellowknife,62.456,-114.3525,237.82,85,20,3.09,CA,1704820773
76,iskateley,67.6803,53.1512,252.05,100,100,2.24,RU,1704820774
77,crane,31.3974,-102.3501,278.43,33,0,5.9,US,1704820776
78,khandyga,62.6667,135.6,224.98,100,96,1.11,RU,1704820520
79,bonny,4.4522,7.1681,302.42,71,3,5.94,NG,1704820779
80,dakhla,23.6848,-15.958,294.16,60,0,6.69,EH,1704820781
81,mandan,46.8267,-100.8896,263.04,83,0,5.14,US,1704820782
82,vorkuta,67.5,64.0,247.86,99,100,2.22,RU,1704820784
83,amga,60.8953,131.9608,227.61,100,100,0.47,RU,1704820785
84,ushuaia,-54.8,-68.3,280.94,70,75,11.83,AR,1704820635
85,leh,34.1667,77.5833,266.01,41,0,1.31,IN,1704820789
86,iqaluit,63.7506,-68.5145,247.42,68,75,8.23,CA,1704820793
87,hawaiian paradise park,19.5933,-154.9731,296.5,93,20,6.17,US,1704820794
88,hithadhoo,-0.6,73.0833,301.06,75,9,1.82,MV,1704820795
